Mesocosm,Organism,Length_mm,Treatment,Drymass_mg,Drymass_g
B3,Chironomidae,9.013,6,0.154816221,0.000154816
G2,Chironomidae,4.719,1,0.028049509,2.80495E-05
E9,Chironomidae,5.136,2,0.035076105,3.50761E-05
C3,Chironomidae,5.163,4,0.03556501,3.5565E-05
E11,Chironomidae,6.272,3,0.059444721,5.94447E-05
D12,Chironomidae,5.379,4,0.039629026,3.9629E-05
G1,Chironomidae,3.166,2,0.009779353,9.77935E-06
H5,Chironomidae,5.283,2,0.037789064,3.77891E-05
D6,Chironomidae,7.867,0,0.10811787,0.000108118
D6,Chironomidae,7.69,0,0.10181385,0.000101814
D3,Chironomidae,5.629,6,0.044678627,4.46786E-05
H1,Chironomidae,1.799,0,0.002199093,2.19909E-06
D4,Chironomidae,6.238,2,0.058597772,5.85978E-05
C10,Chironomidae,5.022,4,0.033057944,3.30579E-05
G8,Chironomidae,4.769,0,0.028840943,2.88409E-05
G8,Chironomidae,4.927,0,0.031432526,3.14325E-05
C10,Chironomidae,7.44,4,0.093306924,9.33069E-05
G5,Chironomidae,2.686,3,0.006335796,6.3358E-06
D4,Chironomidae,5.49,2,0.04182465,4.18247E-05
G8,Chironomidae,2.828,0,0.007258835,7.25884E-06
D6,Chironomidae,7.075,0,0.081703213,8.17032E-05
B7,Chironomidae,4.788,3,0.029145282,2.91453E-05
F11,Chironomidae,5.272,0,0.037581697,3.75817E-05
H8,Chironomidae,4.593,4,0.026115355,2.61154E-05
G10,Chironomidae,2.527,2,0.005393109,5.39311E-06
H8,Chironomidae,3.405,4,0.011850878,1.18509E-05
G8,Chironomidae,4.155,0,0.020044205,2.00442E-05
D4,Chironomidae,3.262,2,0.010581786,1.05818E-05
F11,Chironomidae,3.884,0,0.016774843,1.67748E-05
F3,Chironomidae,9.232,4,0.164946166,0.000164946
E10,Chironomidae,10,2,0.203686068,0.000203686
H9,Chironomidae,3.989,1,0.017998751,1.79988E-05
C10,Chironomidae,9.066,4,0.15723123,0.000157231
H8,Chironomidae,4.398,4,0.023289229,2.32892E-05
E10,Chironomidae,9.012,2,0.154770878,0.000154771
E10,Chironomidae,9.393,2,0.172649265,0.000172649
C3,Chironomidae,5.212,4,0.036463047,3.6463E-05
D6,Chironomidae,5.611,0,0.044302439,4.43024E-05
E7,Chironomidae,5.997,4,0.052808911,5.28089E-05
C10,Chironomidae,4.15,4,0.01998059,1.99806E-05
F11,Chironomidae,3.717,0,0.014937217,1.49372E-05
F11,Chironomidae,4.364,0,0.022816921,2.28169E-05
G10,Chironomidae,4.668,2,0.027256291,2.72563E-05
G3,Chironomidae,4.683,2,0.027488124,2.74881E-05
G10,Chironomidae,4.763,2,0.028745248,2.87452E-05
H5,Chironomidae,7.635,2,0.099902692,9.99027E-05
E2,Chironomidae,4.369,7,0.022886001,2.2886E-05
G10,Chironomidae,5.391,2,0.039862851,3.98629E-05
C10,Chironomidae,4.622,4,0.026552925,2.65529E-05
D12,Chironomidae,5.652,4,0.045162192,4.51622E-05
H4,Chironomidae,4.947,4,0.031770494,3.17705E-05
H8,Chironomidae,4.908,4,0.031113534,3.11135E-05
C3,Chironomidae,4.928,4,0.031449371,3.14494E-05
H9,Chironomidae,5.665,1,0.045436942,4.54369E-05
D6,Chironomidae,8.068,0,0.115564188,0.000115564
E10,Chironomidae,5.552,2,0.043083194,4.30832E-05
D12,Chironomidae,3.773,4,0.015538693,1.55387E-05
G3,Cloeon.dipterum,6.259,2,0.679378658,0.000679379
C3,Cloeon.dipterum,4.948,4,0.441993872,0.000441994
E2,Cloeon.dipterum,5.424,7,0.522847504,0.000522848
G10,Cloeon.dipterum,9.175,2,1.367448095,0.001367448
B7,Cloeon.dipterum,3.096,3,0.187490507,0.000187491
F6,Cloeon.dipterum,4.321,5,0.344975272,0.000344975
H1,Cloeon.dipterum,2.936,0,0.170149298,0.000170149
B1,Cloeon.dipterum,3.853,1,0.279724645,0.000279725
G10,Cloeon.dipterum,3.15,2,0.193514872,0.000193515
H9,Cloeon.dipterum,4.301,1,0.342060443,0.00034206
G3,Cloeon.dipterum,4.716,2,0.404828255,0.000404828
H5,Cloeon.dipterum,6.083,2,0.644845732,0.000644846
E9,Cloeon.dipterum,4.285,2,0.339736653,0.000339737
F8,Cloeon.dipterum,4.614,2,0.388957595,0.000388958
H5,Cloeon.dipterum,4.201,2,0.327654697,0.000327655
G10,Cloeon.dipterum,3.303,2,0.211051345,0.000211051
H5,Cloeon.dipterum,4.062,2,0.308098551,0.000308099
G10,Cloeon.dipterum,3.13,2,0.191273558,0.000191274
F11,Cloeon.dipterum,6.002,0,0.629227523,0.000629228
E2,Cloeon.dipterum,4.999,7,0.450361856,0.000450362
H1,Cloeon.dipterum,6.586,0,0.745698863,0.000745699
B7,Cloeon.dipterum,4.17,3,0.323246021,0.000323246
E2,Cloeon.dipterum,7.21,7,0.879970154,0.00087997
B1,Cloeon.dipterum,3.405,1,0.223124134,0.000223124
G10,Cloeon.dipterum,4.843,2,0.424989996,0.00042499
G10,Cloeon.dipterum,3.242,2,0.203977065,0.000203977
A5,Cloeon.dipterum,4.401,1,0.356746562,0.000356747
G10,Cloeon.dipterum,4.644,2,0.393595566,0.000393596
G10,Cloeon.dipterum,2.297,2,0.108609497,0.000108609
H1,Cloeon.dipterum,4.78,0,0.414932991,0.000414933
E2,Cloeon.dipterum,4.421,7,0.359717333,0.000359717
A5,Cloeon.dipterum,5.843,1,0.599075252,0.000599075
G8,Cloeon.dipterum,5.98,0,0.62501553,0.000625016
D3,Cloeon.dipterum,7.071,6,0.84918985,0.00084919
D9,Cloeon.dipterum,4.848,6,0.425792845,0.000425793
B8,Cloeon.dipterum,5.775,0,0.586385105,0.000586385
G10,Cloeon.dipterum,3.243,2,0.204092155,0.000204092
B3,Cloeon.dipterum,5.855,6,0.601327468,0.000601327
F11,Cloeon.dipterum,5.699,0,0.572347891,0.000572348
E10,Cloeon.dipterum,7.739,2,1.001633699,0.001001634
B1,Cloeon.dipterum,7.111,1,0.857996575,0.000857997
H1,Cloeon.dipterum,3.535,0,0.238950855,0.000238951
A5,Cloeon.dipterum,4.021,1,0.302434522,0.000302435
A5,Cloeon.dipterum,6.895,1,0.810930293,0.00081093
D6,Cloeon.dipterum,9.453,0,1.444179738,0.00144418
G8,Cloeon.dipterum,7.238,0,0.886230564,0.000886231
B1,Cloeon.dipterum,8.227,1,1.120162531,0.001120163
C10,Cloeon.dipterum,6.397,4,0.707025518,0.000707026
G10,Cloeon.dipterum,5.927,2,0.614921142,0.000614921
G11,Cloeon.dipterum,4.208,5,0.328653949,0.000328654
E10,Cloeon.dipterum,5.534,2,0.542404092,0.000542404
G3,Cloeon.dipterum,6.632,2,0.75525249,0.000755252
G5,Cloeon.dipterum,5.048,3,0.458468632,0.000458469
B12,Cloeon.dipterum,6.234,0,0.674423689,0.000674424
B12,Cloeon.dipterum,5.37,0,0.513366248,0.000513366
B1,Cloeon.dipterum,3.789,1,0.271285041,0.000271285
E2,Cloeon.dipterum,4.816,7,0.420666484,0.000420666
B1,Cloeon.dipterum,3.373,1,0.219303837,0.000219304
E2,Cloeon.dipterum,5.105,7,0.467981369,0.000467981
E1,Cloeon.dipterum,6.083,4,0.644845732,0.000644846
B8,Cloeon.dipterum,4.594,0,0.385879463,0.000385879
G10,Cloeon.dipterum,5.33,2,0.506393833,0.000506394
D6,Cloeon.dipterum,3.334,0,0.21468832,0.000214688
E2,Cloeon.dipterum,4.482,7,0.368847089,0.000368847
H1,Cloeon.dipterum,5.592,0,0.552846652,0.000552847
E1,Cloeon.dipterum,4.393,4,0.355561381,0.000355561
H1,Cloeon.dipterum,5.028,0,0.455151827,0.000455152
F11,Cloeon.dipterum,3.451,0,0.228668148,0.000228668
G10,Cloeon.dipterum,3.478,2,0.231950942,0.000231951
C10,Cloeon.dipterum,5.497,4,0.535789645,0.00053579
F3,Cloeon.dipterum,6.563,4,0.740942729,0.000740943
A5,Cloeon.dipterum,4.067,1,0.308792543,0.000308793
H11,Cloeon.dipterum,6.418,4,0.711276431,0.000711276
C3,Cloeon.dipterum,7.182,4,0.873729866,0.00087373
E2,Cloeon.dipterum,5.015,7,0.453001758,0.000453002
H5,Cloeon.dipterum,5.573,2,0.549415874,0.000549416
E9,Cloeon.dipterum,5.406,2,0.519678348,0.000519678
G10,Cloeon.dipterum,5.684,2,0.569595613,0.000569596
G3,Cloeon.dipterum,6.37,2,0.701577035,0.000701577
F8,Cloeon.dipterum,5.562,2,0.547434059,0.000547434
E1,Cloeon.dipterum,6.187,4,0.665152879,0.000665153
E9,Cloeon.dipterum,7.331,2,0.907168312,0.000907168
D9,Cloeon.dipterum,6.672,6,0.763604776,0.000763605
G2,Cloeon.dipterum,3.59,1,0.24579446,0.000245794
A5,Cloeon.dipterum,4.126,1,0.317035061,0.000317035
G5,Cloeon.dipterum,4.457,3,0.365092844,0.000365093
E9,Cloeon.dipterum,9.287,2,1.39813315,0.001398133
F11,Cloeon.dipterum,5.19,0,0.482331295,0.000482331
G3,Cloeon.dipterum,4.985,2,0.44805768,0.000448058
E1,Cloeon.dipterum,5.268,4,0.495672072,0.000495672
H1,Cloeon.dipterum,3.328,0,0.213982192,0.000213982
F12,Cloeon.dipterum,8.226,2,1.119913513,0.001119914
A5,Cloeon.dipterum,5.759,1,0.583417094,0.000583417
G10,Cloeon.dipterum,5.58,2,0.550678718,0.000550679
H1,Cloeon.dipterum,4.274,0,0.338143214,0.000338143
D2,Cloeon.dipterum,5.042,4,0.457472445,0.000457472
E2,Cloeon.dipterum,5.388,7,0.516517928,0.000516518
B3,Cloeon.dipterum,4.635,6,0.392201558,0.000392202
G10,Cloeon.dipterum,2.756,2,0.151556659,0.000151557
C10,Cloeon.dipterum,3.722,4,0.262575573,0.000262576
F3,Cloeon.dipterum,4.474,4,0.367643837,0.000367644
H5,Cloeon.dipterum,5.207,2,0.485224837,0.000485225
H5,Cloeon.dipterum,6.625,2,0.753795122,0.000753795
A5,Cloeon.dipterum,3.888,1,0.284389571,0.00028439
A5,Cloeon.dipterum,3.474,1,0.231463264,0.000231463
E9,Cloeon.dipterum,4.309,2,0.343225029,0.000343225
F11,Cloeon.dipterum,3.803,0,0.273121188,0.000273121
E9,Cloeon.dipterum,5.605,2,0.555199603,0.0005552
A5,Cloeon.dipterum,6.451,1,0.717979762,0.00071798
B7,Cloeon.dipterum,5.102,3,0.467478492,0.000467478
A9,Cloeon.dipterum,8.549,2,1.201648526,0.001201649
D6,Cloeon.dipterum,6.215,0,0.670668912,0.000670669
H5,Cloeon.dipterum,4.595,2,0.386033106,0.000386033
E2,Cloeon.dipterum,5.098,7,0.46680837,0.000466808
E1,Cloeon.dipterum,5.843,4,0.599075252,0.000599075
A5,Cloeon.dipterum,3.927,1,0.289628791,0.000289629
E1,Cloeon.dipterum,4.311,4,0.343516456,0.000343516
B1,Cloeon.dipterum,3.928,1,0.2897637,0.000289764
E2,Cloeon.dipterum,4.287,7,0.340026734,0.000340027
E2,Cloeon.dipterum,5.224,7,0.488126221,0.000488126
A5,Cloeon.dipterum,4.64,1,0.39297573,0.000392976
G11,Cloeon.dipterum,5.805,5,0.591968518,0.000591969
A9,Cloeon.dipterum,4.908,2,0.43548056,0.000435481
G10,Cloeon.dipterum,8.378,2,1.158051982,0.001158052
G8,Cloeon.dipterum,7.81,0,1.01850481,0.001018505
B3,Cloeon.dipterum,7.721,6,0.99737682,0.000997377
B12,Cloeon.dipterum,3.55,0,0.240808604,0.000240809
H1,Cloeon.dipterum,4.047,0,0.30602082,0.000306021
C2,Cloeon.dipterum,9.14,2,1.357922346,0.001357922
B12,Cloeon.dipterum,9.506,0,1.45902367,0.001459024
A5,Cloeon.dipterum,4.291,1,0.340607233,0.000340607
E2,Cloeon.dipterum,4.287,7,0.340026734,0.000340027
H5,Cloeon.dipterum,4.237,2,0.332808396,0.000332808
B3,Cloeon.dipterum,5.384,6,0.515816799,0.000515817
G11,Cloeon.dipterum,4.413,5,0.358527685,0.000358528
G5,Cloeon.dipterum,5.292,3,0.499810094,0.00049981
C2,Cloeon.dipterum,7.95,2,1.052145547,0.001052146
B3,Cloeon.dipterum,7.21,6,0.879970154,0.00087997
H5,Cloeon.dipterum,7.521,2,0.950631925,0.000950632
H5,Cloeon.dipterum,3.276,2,0.207906623,0.000207907
E4,Cloeon.dipterum,5.235,4,0.490007765,0.000490008
B3,Cloeon.dipterum,5.495,6,0.535433156,0.000535433
B3,Cloeon.dipterum,8.793,6,1.265118044,0.001265118
F8,Cloeon.dipterum,5.1,2,0.467143376,0.000467143
H1,Cloeon.dipterum,7.056,0,0.845897948,0.000845898
G10,Cloeon.dipterum,5.082,2,0.464132241,0.000464132
G8,Cloeon.dipterum,7.619,0,0.973409851,0.00097341
D2,Cloeon.dipterum,9.627,4,1.493170258,0.00149317
B12,Cloeon.dipterum,3.174,0,0.19622006,0.00019622
E4,Cloeon.dipterum,4.697,4,0.401850162,0.00040185
G10,Cloeon.dipterum,2.854,2,0.16155844,0.000161558
G10,Cloeon.dipterum,3.156,2,0.194189573,0.00019419
G10,Cloeon.dipterum,2.162,2,0.097219951,9.722E-05
B8,Cloeon.dipterum,5.057,0,0.459964755,0.000459965
H1,Cloeon.dipterum,3.906,0,0.286802286,0.000286802
G11,Cloeon.dipterum,6.6,5,0.748600652,0.000748601
B1,Cloeon.dipterum,6.596,1,0.747771048,0.000747771
G10,Cloeon.dipterum,3.392,2,0.221568532,0.000221569
B12,Cloeon.dipterum,6.652,0,0.759423429,0.000759423
D2,Cloeon.dipterum,5.146,4,0.474878573,0.000474879
G10,Cloeon.dipterum,4.676,2,0.398570185,0.00039857
G10,Cloeon.dipterum,4.095,2,0.312691976,0.000312692
H11,Cloeon.dipterum,4.923,4,0.437917916,0.000437918
B3,Cloeon.dipterum,6.453,6,0.71838694,0.000718387
H5,Cloeon.dipterum,3.918,2,0.288415893,0.000288416
E9,Cloeon.dipterum,5.764,2,0.584343864,0.000584344
A5,Cloeon.dipterum,7.305,1,0.901292436,0.000901292
G10,Cloeon.dipterum,2.285,2,0.107573974,0.000107574
E9,Cloeon.dipterum,4.463,2,0.365992275,0.000365992
C10,Cloeon.dipterum,8.644,4,1.226183975,0.001226184
E2,Cloeon.dipterum,4.723,7,0.405927959,0.000405928
B8,Cloeon.dipterum,6.488,0,0.725529494,0.000725529
H1,Cloeon.dipterum,4.708,0,0.403573107,0.000403573
D2,Cloeon.dipterum,6.421,4,0.711884647,0.000711885
B3,Cloeon.dipterum,7.099,6,0.855350234,0.00085535
G10,Cloeon.dipterum,3.511,2,0.235992027,0.000235992
B3,Cloeon.dipterum,6.691,6,0.767586692,0.000767587
B7,Cloeon.dipterum,3.782,3,0.270369073,0.000270369
F8,Cloeon.dipterum,3.717,2,0.261930781,0.000261931
B8,Cloeon.dipterum,8.429,0,1.170978027,0.001170978
E2,Cloeon.dipterum,5.047,7,0.458302533,0.000458303
H1,Cloeon.dipterum,6.012,0,0.631146303,0.000631146
B3,Cloeon.dipterum,7.055,6,0.845678694,0.000845679
A3,Cloeon.dipterum,7.56,5,0.959667323,0.000959667
G10,Cloeon.dipterum,5.599,2,0.554113063,0.000554113
A3,Cloeon.dipterum,6.242,5,0.67600749,0.000676007
F3,Cloeon.dipterum,6.248,4,0.677196446,0.000677196
B3,Cloeon.dipterum,7.796,6,1.015168004,0.001015168
B12,Cloeon.dipterum,3.936,0,0.290843996,0.000290844
G10,Cloeon.dipterum,3.008,2,0.177858448,0.000177858
C10,Cloeon.dipterum,6.446,4,0.716962274,0.000716962
A1,Cloeon.dipterum,6.952,4,0.823233624,0.000823234
E9,Cloeon.dipterum,7.508,2,0.947628736,0.000947629
H5,Cloeon.dipterum,3.793,2,0.271809081,0.000271809
G10,Cloeon.dipterum,3.048,2,0.182208113,0.000182208
F11,Cloeon.dipterum,4.76,0,0.411763133,0.000411763
H11,Coleoptera,2.338,4,0.091213804,9.12138E-05
B3,Coleoptera,8.654,6,4.111726353,0.004111726
D9,Coleoptera,4.674,6,0.684726587,0.000684727
H10,Coleoptera,2.058,0,0.062928746,6.29287E-05
B11,Coleoptera,2.448,2,0.104271174,0.000104271
C2,Coleoptera,3.014,2,0.190998476,0.000190998
H10,Coleoptera,2.008,0,0.058582168,5.85822E-05
D12,Coleoptera,2.753,4,0.146743585,0.000146744
H1,Coleoptera,1.529,0,0.026506283,2.65063E-05
C5,Coleoptera,1.939,2,0.052914473,5.29145E-05
B1,Coleoptera,4.022,1,0.442231286,0.000442231
G5,Coleoptera,3.006,3,0.189526949,0.000189527
B7,Coleoptera,6.681,3,1.936474283,0.001936474
G8,Coleoptera,2.113,0,0.067948612,6.79486E-05
F8,Coleoptera,2.293,2,0.08619833,8.61983E-05
H10,Coleoptera,2.066,0,0.063643239,6.36432E-05
D12,Coleoptera,2.31,4,0.0880712,8.80712E-05
A3,Coleoptera,3.314,5,0.251738035,0.000251738
H9,Coleoptera,2.11,1,0.067668258,6.76683E-05
G5,Coleoptera,1.144,3,0.011395747,1.13957E-05
B7,Coleoptera,2.179,3,0.074310741,7.43107E-05
B12,Coleoptera,3.658,0,0.335553846,0.000335554
A5,Coleoptera,2.2,1,0.076414021,7.6414E-05
H11,Coleoptera,2.691,4,0.137332053,0.000137332
H1,Coleoptera,1.508,0,0.025460736,2.54607E-05
G1,Coleoptera,3.967,2,0.424862162,0.000424862
A3,Coleoptera,3.071,5,0.201700659,0.000201701
A3,Coleoptera,2.354,5,0.093042173,9.30422E-05
G5,Coleoptera,2.292,3,0.086088983,8.6089E-05
B11,Crangonyx.pseudogracilis,4.166,2,0.314309801,0.00031431
B11,Crangonyx.pseudogracilis,5.012,2,0.527247307,0.000527247
A9,Crangonyx.pseudogracilis,3.999,2,0.280313134,0.000280313
E7,Crangonyx.pseudogracilis,4.509,4,0.392193071,0.000392193
D10,Crangonyx.pseudogracilis,4.277,0,0.338307044,0.000338307
D4,Crangonyx.pseudogracilis,3.548,2,0.200556879,0.000200557
B11,Crangonyx.pseudogracilis,2.661,2,0.089672438,8.96724E-05
C3,Crangonyx.pseudogracilis,3.825,4,0.247506259,0.000247506
D4,Crangonyx.pseudogracilis,4.747,2,0.452902198,0.000452902
B11,Crangonyx.pseudogracilis,3.882,2,0.257965005,0.000257965
D10,Crangonyx.pseudogracilis,6.283,0,0.992327099,0.000992327
A9,Crangonyx.pseudogracilis,4.085,2,0.297508107,0.000297508
D10,Crangonyx.pseudogracilis,3.82,0,0.246602064,0.000246602
B11,Crangonyx.pseudogracilis,2.833,2,0.106848722,0.000106849
B4,Crangonyx.pseudogracilis,4.044,0,0.289228448,0.000289228
H11,Crangonyx.pseudogracilis,3.91,4,0.263204909,0.000263205
A9,Crangonyx.pseudogracilis,3.543,2,0.199767071,0.000199767
B4,Crangonyx.pseudogracilis,4.397,0,0.365540254,0.00036554
A9,Crangonyx.pseudogracilis,7.489,2,1.621889627,0.00162189
A5,Crangonyx.pseudogracilis,7.079,1,1.385494573,0.001385495
C3,Crangonyx.pseudogracilis,5.028,4,0.531970293,0.00053197
F6,Crangonyx.pseudogracilis,3.556,5,0.20182474,0.000201825
H11,Crangonyx.pseudogracilis,5.643,4,0.734697461,0.000734697
B4,Crangonyx.pseudogracilis,3.577,0,0.205177348,0.000205177
D4,Crangonyx.pseudogracilis,2.591,2,0.083227192,8.32272E-05
H11,Crangonyx.pseudogracilis,4.37,4,0.359294425,0.000359294
E7,Crangonyx.pseudogracilis,4.11,4,0.302630598,0.000302631
B4,Crangonyx.pseudogracilis,3.338,0,0.169082311,0.000169082
E7,Crangonyx.pseudogracilis,4.652,4,0.427995611,0.000427996
C5,Crangonyx.pseudogracilis,3.949,2,0.270616591,0.000270617
B8,Crangonyx.pseudogracilis,2.894,0,0.113411292,0.000113411
D10,Crangonyx.pseudogracilis,6.521,0,1.101119745,0.00110112
B11,Crangonyx.pseudogracilis,2.291,2,0.058983918,5.89839E-05
D4,Crangonyx.pseudogracilis,5.207,2,0.586672134,0.000586672
E7,Crangonyx.pseudogracilis,2.423,4,0.068992879,6.89929E-05
C3,Crangonyx.pseudogracilis,4.747,4,0.452902198,0.000452902
C3,Crangonyx.pseudogracilis,3.811,4,0.244979868,0.00024498
A9,Crangonyx.pseudogracilis,3.981,2,0.276797097,0.000276797
B11,Crangonyx.pseudogracilis,4.166,2,0.314309801,0.00031431
B11,Crangonyx.pseudogracilis,4.571,2,0.407469227,0.000407469
H11,Crangonyx.pseudogracilis,4.937,4,0.505467513,0.000505468
B11,Crangonyx.pseudogracilis,5.077,2,0.546603315,0.000546603
E7,Crangonyx.pseudogracilis,2.534,4,0.078204963,7.8205E-05
B11,Crangonyx.pseudogracilis,4.161,2,0.313255444,0.000313255
D10,Crangonyx.pseudogracilis,3.093,0,0.136604949,0.000136605
C5,Crangonyx.pseudogracilis,3.762,2,0.236268158,0.000236268
C7,Crangonyx.pseudogracilis,3.887,2,0.258895739,0.000258896
E7,Crangonyx.pseudogracilis,4.529,4,0.397079907,0.00039708
C3,Crangonyx.pseudogracilis,4.139,4,0.308643277,0.000308643
D10,Crangonyx.pseudogracilis,3.935,0,0.267940764,0.000267941
C5,Crangonyx.pseudogracilis,3.336,2,0.168799006,0.000168799
H11,Crangonyx.pseudogracilis,4.321,4,0.348135407,0.000348135
B8,Crangonyx.pseudogracilis,3.177,0,0.147240602,0.000147241
D4,Crangonyx.pseudogracilis,4.333,2,0.350847325,0.000350847
D4,Crangonyx.pseudogracilis,5.073,2,0.545399208,0.000545399
D4,Crangonyx.pseudogracilis,3.11,2,0.138716137,0.000138716
E10,Crangonyx.pseudogracilis,4.875,2,0.487906277,0.000487906
B4,Crangonyx.pseudogracilis,5.297,0,0.615487564,0.000615488
A9,Crangonyx.pseudogracilis,3.853,2,0.252609131,0.000252609
D10,Crangonyx.pseudogracilis,3.455,0,0.186192021,0.000186192
E7,Crangonyx.pseudogracilis,3.916,4,0.264336567,0.000264337
E7,Crangonyx.pseudogracilis,4.889,4,0.49183687,0.000491837
E7,Crangonyx.pseudogracilis,3.422,4,0.181258705,0.000181259
D4,Crangonyx.pseudogracilis,4.94,2,0.50632739,0.000506327
A9,Crangonyx.pseudogracilis,4.888,2,0.491555441,0.000491555
C3,Crangonyx.pseudogracilis,5.046,4,0.537316049,0.000537316
A9,Crangonyx.pseudogracilis,4.489,2,0.387345053,0.000387345
E10,Crangonyx.pseudogracilis,5.085,2,0.549016651,0.000549017
C3,Crangonyx.pseudogracilis,4.133,4,0.307393034,0.000307393
A9,Crangonyx.pseudogracilis,4.66,2,0.43005818,0.000430058
D4,Crangonyx.pseudogracilis,5.34,2,0.629569754,0.00062957
B11,Crangonyx.pseudogracilis,4.107,2,0.30201293,0.000302013
B8,Crangonyx.pseudogracilis,3.82,0,0.246602064,0.000246602
A6,Crangonyx.pseudogracilis,4.625,4,0.4210814,0.000421081
B4,Crangonyx.pseudogracilis,1.958,0,0.038008026,3.8008E-05
C5,Crangonyx.pseudogracilis,3.039,2,0.130036094,0.000130036
B4,Crangonyx.pseudogracilis,4.029,0,0.286236737,0.000286237
E7,Crangonyx.pseudogracilis,3.02,4,0.127774104,0.000127774
F5,Crangonyx.pseudogracilis,4.225,0,0.326923818,0.000326924
D10,Crangonyx.pseudogracilis,4.06,0,0.292441673,0.000292442
A9,Crangonyx.pseudogracilis,6.932,2,1.306488684,0.001306489
E7,Crangonyx.pseudogracilis,3.443,4,0.184388235,0.000184388
C5,Crangonyx.pseudogracilis,2.675,2,0.090998739,9.09987E-05
C5,Crangonyx.pseudogracilis,3.409,2,0.179338597,0.000179339
A6,Crangonyx.pseudogracilis,4.773,4,0.459877172,0.000459877
D4,Crangonyx.pseudogracilis,5.007,2,0.525776921,0.000525777
A9,Crangonyx.pseudogracilis,3.267,2,0.159210863,0.000159211
B4,Crangonyx.pseudogracilis,3.747,0,0.233641718,0.000233642
A6,Crangonyx.pseudogracilis,6.455,4,1.070220132,0.00107022
H1,Crangonyx.pseudogracilis,5.223,0,0.591730085,0.00059173
H1,Crangonyx.pseudogracilis,4.427,0,0.372561403,0.000372561
C5,Crangonyx.pseudogracilis,2.806,2,0.104023799,0.000104024
A9,Crangonyx.pseudogracilis,4.461,2,0.380622782,0.000380623
A9,Crangonyx.pseudogracilis,3.757,2,0.235390582,0.000235391
B4,Crangonyx.pseudogracilis,4.155,0,0.311993219,0.000311993
C3,Crangonyx.pseudogracilis,4.574,4,0.408217929,0.000408218
E7,Crangonyx.pseudogracilis,3.583,4,0.206141764,0.000206142
C3,Crangonyx.pseudogracilis,5.513,4,0.688314663,0.000688315
A9,Crangonyx.pseudogracilis,4.264,2,0.335437747,0.000335438
C3,Crangonyx.pseudogracilis,6.184,4,0.949194965,0.000949195
C3,Crangonyx.pseudogracilis,5.577,4,0.710906396,0.000710906
A9,Crangonyx.pseudogracilis,6.493,2,1.087941781,0.001087942
E5,Crangonyx.pseudogracilis,2.341,3,0.062656852,6.26569E-05
C5,Crangonyx.pseudogracilis,4.443,2,0.37634118,0.000376341
C5,Crangonyx.pseudogracilis,3.845,2,0.251144337,0.000251144
A9,Crangonyx.pseudogracilis,4.417,2,0.37021148,0.000370211
B11,Crangonyx.pseudogracilis,3.599,2,0.208727766,0.000208728
E5,Crangonyx.pseudogracilis,2.435,3,0.06995319,6.99532E-05
C2,Crangonyx.pseudogracilis,4.189,2,0.319189213,0.000319189
H11,Crangonyx.pseudogracilis,5.789,4,0.789129266,0.000789129
H11,Crangonyx.pseudogracilis,3.524,4,0.196784037,0.000196784
C3,Crangonyx.pseudogracilis,5.526,4,0.6928657,0.000692866
C3,Crangonyx.pseudogracilis,3.106,4,0.138217515,0.000138218
A6,Crangonyx.pseudogracilis,4.987,4,0.519921732,0.000519922
B8,Crangonyx.pseudogracilis,2.852,0,0.108865878,0.000108866
B11,Crangonyx.pseudogracilis,2.974,2,0.122402824,0.000122403
H11,Crangonyx.pseudogracilis,4.391,4,0.364146311,0.000364146
D10,Crangonyx.pseudogracilis,4.03,0,0.286435563,0.000286436
B11,Crangonyx.pseudogracilis,4.077,2,0.295880762,0.000295881
D10,Crangonyx.pseudogracilis,2.794,0,0.102783852,0.000102784
D10,Crangonyx.pseudogracilis,3.733,0,0.23120737,0.000231207
B11,Crangonyx.pseudogracilis,3.458,2,0.186644732,0.000186645
B4,Crangonyx.pseudogracilis,4.945,0,0.507762606,0.000507763
E7,Crangonyx.pseudogracilis,3.509,4,0.194449344,0.000194449
E7,Crangonyx.pseudogracilis,3.12,4,0.139967747,0.000139968
E7,Crangonyx.pseudogracilis,2.924,4,0.116731508,0.000116732
C3,Crangonyx.pseudogracilis,3.549,4,0.200715081,0.000200715
C3,Crangonyx.pseudogracilis,4.31,4,0.345661349,0.000345661
E7,Crangonyx.pseudogracilis,3.219,4,0.152751932,0.000152752
B11,Crangonyx.pseudogracilis,3.677,2,0.221633087,0.000221633
E7,Crangonyx.pseudogracilis,3.633,4,0.214292021,0.000214292
A9,Crangonyx.pseudogracilis,6.081,2,0.9056189,0.000905619
C3,Crangonyx.pseudogracilis,6.446,4,1.066050261,0.00106605
E10,Crangonyx.pseudogracilis,3.936,2,0.268131328,0.000268131
E10,Crangonyx.pseudogracilis,5.996,2,0.870643261,0.000870643
C3,Crangonyx.pseudogracilis,6.158,4,0.938070882,0.000938071
B11,Crangonyx.pseudogracilis,3.079,2,0.134881916,0.000134882
B8,Crangonyx.pseudogracilis,5.336,0,0.62825114,0.000628251
E5,Crangonyx.pseudogracilis,3.1,3,0.137471743,0.000137472
D10,Crangonyx.pseudogracilis,4.75,0,0.453703509,0.000453704
B4,Crangonyx.pseudogracilis,6.779,0,1.227396447,0.001227396
D10,Crangonyx.pseudogracilis,5.17,0,0.575082243,0.000575082
